category_name,product_title,original_price,discount_price,dicount_rate
가전,11번가 단독) 알로코리아 미세먼지 공기청정기 A100 헤파필터 H13 거실 원룸 가정용 공부방 아이방 사무실,79000,79000,
가전,대우 디지털 에어프라이어 3.5L 대용량 사각형 원형 튀김기,69900,59900,
뷰티,[VIP10%+20%] 땡큐박스/레드블레미쉬/필링젤/선크림/유산균클렌징 外,17300,17300,
뷰티,[맥퀸뉴욕_MQNY] 셀프 속눈썹 펌 세트 2월 신상출시! ~74% 브랜드세일+금액대별사은품+무료배송,8900,8900,
뷰티,[홀리카홀리카] 신상 러브컬렉션/테라조섀도우팔레트/아이메탈글리터 외 BEST ~61%,20000,9900,
뷰티,[10%+25%할인] 미샤 20주년 더더더 즉시할인! 최대 3.5만원 금액대별 할인,20000,10000,
가구/홈데코,누적판매 1위 컴퓨터/책상/학생/사무용의자,40000,34000,
가구/홈데코,[일룸] 링키 600폭 책장 / 초등 학생 학습 아이방 책꽂이 선반 높이 조절 이동 가능,143000,143000,
가구/홈데코,한샘 샘파레트 책장 5단 120cm 시공 외,89000,80100,
디지털,앱코 K660 카일 리니어 게이밍 기계식키보드 [ 포토상품평 참여시 장패드 100%증정],39900,39900,
디지털,삼성외장하드 인증점 J3 2TB A/S 3년,113280,84900,
디지털,갤럭시 S20 5G 128G SKT 단독혜택! 카드+T멤+SK pay 추가적립+경품,1248500,1248500,
생활주방,다우니 겨울 한정판 출시! 엑스퍼트/ 퍼퓸 초고농축 섬유유연제 1LX6,29900,25900,
생활주방,[20%+10%쿠폰+사은품]스위퍼 더스터 먼지떨이 핸들/리필+테이프 클리너+더스터 샘플,11900,11900,
생활주방,[10%+20%]*1980M대용량! 리빙 라벤더향 롱~화장지 33M 3겹 30롤x2팩 /휴지/두루마리휴지,20900,20900,
생활주방,퍼실 딥클린 라벤더 드럼/일반 용기 2.7L x2개+ 퍼실 라벤더 300ml x3개,28300,28300,
전체,[호텔조리장 고동원 쉐프] 건강 보양식 사골도가니탕 600g*3개외/육개장/곰탕/갈비탕,14900,12700,
전체,[샘표] 바지락 칼국수 10봉지+1봉지증정 6종 택2 골라감기,12360,11130,
전체,[10%%+20%쿠폰] 앙블랑 아기물티슈 민트캡형 10팩,17400,17400,
스포츠/레저,[2020년신제품]던롭 젝시오 GGC-X111 어쎈틱 2.9kg초경량 9.5인치 캐디백 보스톤백세트-5종칼라,299000,299000,
스포츠/레저,이고진 요가용품 친환경 실내 와이드 요가매트 NBR TPE 폼롤러 필라테스링 짐볼 고무밴드,14000,10920,
스포츠/레저,[마모트] 봄 이월 신규입고 자켓 티셔츠 외 상하의,12000,12000,
도서,T멤15%+사은품) 2020 1학기 우등생해법시리즈세트/백점맞는시리즈/동아전과/우공비자습서/우등생전과/완자 세트 1.2.3.4.5.6학년(선택),42000,37800,
도서,"[T멤버십+사은품] 흔한남매 1,2,3권/흔한남매 안 흔한 일기 1 선택구매",11000,9900,
도서,[무배+T멤15%]개정판 기적의계산법 1 2 3 4 5 6 7 8 9 10 11 12 단계 선택/초등 수학 문제집,8000,7200,
남성의류,[BON] 2월 25일 단하루 SS이월 신상 베스트 모음 셔츠/정장/코트 外,15000,15000,
남성의류,[르젠]봄신상  남성코디 아이템 봄자켓/트렌치코트/슬랙스/면바지/셔츠/봄니트/긴팔티/맨투맨,14900,11900,
남성의류,[플루크] M~2XL 남자/여자 맨투맨/후드티/후드집업/오버핏,24800,24800,
식품,[샘표] 바지락 칼국수 10봉지+1봉지증정 6종 택2 골라감기,12360,11130,
식품,서울 흰우유200mlx24입/초코우유/딸기우유,12200,10890,
