title,user,content
"아이언맨의 딸 모건 스타크, 제발 자신을 향한 악플을 멈춰달라고 간청하다",c106****,"     <어벤져스: 엔드게임>에서 토니 스타크의 딸, 모건 스타크로 출연해 ""3,000만큼 사랑해!!""라는 유행어를 남긴 아역 배우 렉시 레이브가 본인과 본인의 가족을 향해 쏟아지고 있는 무차별적인 악플을 제발 멈춰달라고 간청했다..."
[양성희의 시시각각] BTS와 ‘어벤져스’,deli****,입력 2019-05-11 00:20:02                                                                  양성희 논설위원         지금 놀라운 두 문화 현상을 보고 있다. 전지구적으로 성공하며 문화사를 바꾸고 있다. 변방의 아이돌로 서구 주류...
<★ 최고!> 모조리 다 나왔다! 최고의 어벤저스! [배우중심 Charley 무비] 어벤져스: 엔드게임,char****,비전 역인 폴 베타니 빼고는 모조리 다 나왔다.- 3시간이 어떻게 갔는지 모르겠다. 지루할 틈 없이 쉬지않고 몰아친다. 토니 스타크와 페퍼 포츠의 딸로 나온 알렉산드라 레이브가 너무나 예쁘고 귀여운데 정보가 전혀 없다.   영화 전반...
<어벤져스: 엔드 게임> MUC 12년사의 아름다운 마무리,slee****,"어벤져스: 엔드게임 (Avengers: Endgame, 2019)★★★★★ / ★★★★★- 스포일러 주의 -4월 27일에 보고5월 27일에 리뷰를 쓰다니... 딱 한 달 만이네영화 본 직후엔 감정이 복받치는 것도 있고이것저것 하고 싶은 말은 많은데 시간은 ..."
어벤져스 엔드게임(스포일러 없음),khj7****,"        어벤져스: 엔드게임      감독   안소니 루소, 조 루소   출연   로버트 다우니 주니어, 크리스 에반스, 크리스 헴...   개봉   2019.04.24. 미국      리뷰보기      내가 이걸 영화 개봉 바로 다음 날 아침에 조조로 관람하고 ..."
[어벤져스: 엔드게임] 11년 대장정의 마무리 또 다른 시작. [스포주의],onep****,"        어벤져스: 엔드게임      감독   안소니 루소, 조 루소   출연   로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 마크 러팔로, 스칼렛 요한슨, 제레미 레너, 폴 러드, 돈 ...   개봉   2019.04.24. 미국   평점         ..."
어벤져스 엔드게임,sour****,"        어벤져스: 엔드게임      감독   안소니 루소, 조 루소   출연   로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 마크 러팔로, 스칼렛 요한슨, ...   개봉   2019.04.24. 미국   평점                         리뷰보기 ..."
[어벤져스 - 엔드게임] 모든 것이 일상의 삶으로....,pjw1****,"[어벤져스 - 엔드게임] 모든 것이 일상의 삶으로....[출처 : 구글, 검색어 : 어벤져스]10년간의 세월이 흘러 어느덧 어벤져스도 대단원의 막을 내리게 되었다. 정말로 이것이 끝인지 아닌지는 알 수가 없다. 항상 끝은 또 다른 시작을 의..."
[영화리뷰] 어벤져스: 엔드게임 (3000만큼 그리울 히어로들 feat.약간의 스포),theh****,"        어벤져스: 엔드게임          감독     안소니 루소, ...    출연     로버트 다우니 주니어, 크리스 에반스, 크리스 ...   개봉   2019.04....                 리뷰보기       기대하던 어벤져스의 마지막 엔드게임.러닝타임이 ..."
어벤져스 : 엔드게임,grae****,한줄 평 : Thank You. Hero's. Thank you. Avengers.스포일러는 없습니다. 스포일러를 찾아 오신 분은 뒤로 가기를 눌러주세요.드디어 10년을 쌓아온 대단원의 막이 내렸습니다. 하고 싶은 말은 한줄평에서 다 해버려서 더 이상 할 말은 ...
"[영화] 어벤져스: 엔드게임 (Avengers: Endgame, 2019) ",msky****,"        어벤져스: 엔드게임      감독   안소니 루소, 조 루소   출연   로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 마크 러팔로, 스칼렛 요한슨, 제레미 레너, 폴 러드, 돈 ...   개봉   2019.04.24. 미국   평점         ..."
어벤져스 엔드게임 한페이지를 넘긴 마블 히어로들의 대서사시,luvh****,"[뮤아] 드디어 한 페이지를 넘기는 것 같은마블 히어로들의 졸업식 같은 느낌 안녕하세요 : ) 오랜만에 돌아오는 문화 뮤아 중에영화뮤 돌아왔습니다!그동안 여러 영화들을 관람했지만,시간이 없어서라는 거창한 이유로 찾아오질 못했었는..."
"영화추천, 어벤져스:엔드게임 3시간이 눈깜짝할사이에-스포주의",bsj8****," 영화추천, 어벤져스:엔드게임 3시간이 눈깜짝할사이에-스포주의수진아안뇽입니다*^^*요즘 영화보는거에 그닥 재미를 못느껴서 안보고 있었는데요!재밌는 영화 하나둘씩 개봉하는거 같아요보고 싶은 영화들이 많아졌어요오늘은 보고 싶던 ..."
