dis_price,dis_rate,main_category_name,ori_price,sub_category_name,title
6900,70,신발/잡화,6900,ALL,[가나양말]남자 여자 발목 덧신 페이크삭스 뮬 블로퍼 샌들 양말
28500,13,컴퓨터/전자,28500,ALL,샤오미 체지방 체중계 2세대 XMTZC05HM
199700,33,컴퓨터/전자,199700,ALL,[샤오미]드리미 dreame 무선 청소기 V10 한글판 국내 a/s
53760,4,컴퓨터/전자,53760,ALL,[제로](정품) 공기청정기필터 제로 2.0 전용필터 CAF-G0S6
55720,0,도서/음반,55720,ALL,꿈꾸는달팽이-디즈니 프린세스 무비 스토리북 (전6권)
25200,10,도서/음반,25200,ALL,[기탄교육]기탄 사고력 수학 세트 외 시리즈 선택(기탄수학/국어/한글/영어/한자/떼기시리즈)
43500,33,도서/음반,43500,ALL,씨투엠 수학 교구상자 펜토미노턴/큐브빌드/머긴스빙고/폴리스퀘어  선택구매(워크북포함)(NEW)
8900,69,가구/침구,8900,ALL,피그먼트 워싱 매트리스커버 누빔 방수 순면 매트커버
93900,47,가구/침구,93900,ALL,[상일리베가구](최대혜택가 70430원)아이언 철제 드레스룸 행거 옷장
20000,20,여행,20000,ALL,(문자발송)3월/테르메덴/풀앤스파/이천/이천테르메덴/스파/온천/종일권/나이트스파권
83200,0,여행,83200,ALL,오크밸리리조트(강원도/문막/원주/스키장)
17000,0,여행,17000,ALL,(문자발송) 어린이대공원 자유이용권/능동/서울/데이트코스/놀이동산/테마파크
10000,0,e쿠폰/티켓,10000,ALL,[맘스터치](맘스터치) 모바일 1만원권+10% 캐시백
28030,0,e쿠폰/티켓,28030,ALL,핀/카드/평일발송/컬쳐랜드/도서/해피머니문화 상품권
27900,7,e쿠폰/티켓,27900,ALL,(아웃백/이디야)Pays 외식/카페 결합 금액권 3만원권
16900,0,화장품/헤어,16900,ALL,[롬앤]롬앤 인기컬러 특가전1+1 틴트 립스틱 쿠션
20000,0,화장품/헤어,20000,ALL,[ahc]AHC 2월 브랜드위크/2만원 균일가전
13900,69,유아동/출산,13900,ALL,[크록스키즈]크록스키즈 아동 새학기준비 맨투맨/팬츠/트레이닝
19900,69,유아동/출산,19900,ALL,[카파키즈]카파키즈 새학기 아동 슬리퍼/운동화 모음전
74100,5,유아동/출산,74100,ALL,(3월4일출고)(와이즈만북스) 미래가 온다 시리즈 1~6권 세트(전6권)
48500,9,식품,48500,ALL,단일품종 신동진 쌀 20kg 19년산 (당일도정)
25440,1,식품,25440,ALL,[CJ] 비비고 왕교자 1.05kgx4봉 + 찐만두 168g 증정
8900,69,패션의류,8900,ALL,글램공감/브라1+팬티2/속옷세트/빅사이즈/여성속옷
14900,69,패션의류,14900,ALL,시크루즈/10%/봄신상/원피스/롱원피스/빅사이즈
16900,61,스포츠/자동차,16900,ALL,아디다스/뉴발란스/리복 슬리퍼/운동화/백팩 50종
15000,69,스포츠/자동차,15000,ALL,[웨스트우드]웨스트우드 기본티셔츠/집업/팬츠 베스트전
10900,50,생활/주방/건강,10900,ALL,[도리도리]도리도리 아기물티슈 100매캡 10팩+10팩 대용량 특가
16900,62,생활/주방/건강,16900,ALL,강블리라이프 블링 휴 30M 3겹 30롤 X 2팩/화장지/휴지
41900,0,신발/잡화,41900,ALL,[아디다스네오]네오 슬립온 2020 신상 전사이즈 균일가
24230,16,신발/잡화,24230,ALL,[쇼핑엔티단독 ] 조이풀 아델라 슬립온 시즌2
399000,0,컴퓨터/전자,399000,ALL,[에이수스]라이젠노트북ASUS X512DA-BQ473 2020년형 인기노트북
448000,0,컴퓨터/전자,448000,ALL,[에브리봇]에브리봇 로봇청소기 3i /강력흡입모터
67900,0,도서/음반,67900,ALL,2/21 {신나라제작특전1개} SET(앨범4종+포스터4종+지관통) 방탄소년단 (BTS) - Map Of The Soul : 7
67900,0,도서/음반,67900,ALL,(2/21)(제작특전 종료)(PKG) BTS(방탄소년단) - MAP OF THE SOUL 7 (POSTER)
25500,15,가구/침구,25500,ALL,[다니카]초특가 신학기 학생 사무용 컴퓨터 의자 신상품 추가
8900,69,가구/침구,8900,ALL,[쁘리엘르]유아 누비 방수패드 온가족용 방수매트 방수요
55090,7,가구/침구,55090,ALL,까사앤지오 베개 시즌2 본품2+커버2+전용세탁망2
242000,0,여행,242000,ALL,"|최대20만원할인|파라다이스호텔&리조트, 파라다이스시티(인천 호텔/중구/인천국제공항(중구)"
43000,43,여행,43000,ALL,(공식판매처) 에버랜드 종일권+감성교복 기본세트(20/2/1~3/15)
19900,56,여행,19900,ALL,(공식판매처) 에버랜드 초특가 자유이용권(~20/3/31)
28500,5,e쿠폰/티켓,28500,ALL,[컬쳐랜드문화상품권](편의점통합) 모바일금액권 3만원/ 캐쉬충전불가
28500,5,e쿠폰/티켓,28500,ALL,[GS수퍼마켓](GS수퍼마켓) 금액권 3만원
31960,6,e쿠폰/티켓,31960,ALL,[투썸플레이스]투썸플레이스 스트로베리 초콜릿 생크림
19900,47,화장품/헤어,19900,ALL,[네이처카인드]비타민크림 500g 대용량/미백+주름개선+기미잡티+톤업
19900,15,화장품/헤어,19900,ALL,[케라시스]케라시스 대용량 샴푸/린스/바디워시 4000mlx2개
15900,62,화장품/헤어,15900,ALL,[레브론]레브론 수퍼러스트러스 립스틱 4개SET+사은품 증정
